county,state,household_income,total_population,total_white_population
ben hill county,GA,6828,17237,9991
benewah county,ID,3566,9509,8127
bennett county,SD,991,3411,1190
bennington county,VT,14513,37235,35156
benson county,ND,1899,6090,2329
bent county,CO,1805,5861,4467
benton county,AR,101109,278774,215462
benton county,IN,3319,8687,8278
benton county,IA,10075,25654,24621
benton county,MN,16351,41087,36554
benton county,MS,2962,7687,4673
benton county,MO,7891,19351,18255
benton county,OR,37370,94667,78029
benton county,TN,6509,15872,14917
benton county,WA,74290,204551,159628
benzie county,MI,6817,17926,16731
bergen county,NJ,348674,952979,628654
berkeley county,SC,84085,224806,146304
berkeley county,WV,46838,120460,102322
berks county,PA,160065,426967,331571
berkshire county,MA,55525,129089,114526
bernalillo county,NM,277653,674919,442423
berrien county,GA,6634,18195,14913
berrien county,MI,63403,154263,119609
bertie county,NC,7188,18105,6312
bethel census area,AK,4520,18514,1769
bexar county,TX,717124,1990522,1273323
bibb county,AL,7083,22412,17020
bibb county,GA,58752,156711,60197
bienville parish,LA,5236,13130,7147
big horn county,MT,3534,13198,3737
big horn county,WY,4215,11671,10533
big stone county,MN,2276,5155,4991
billings county,ND,305,839,839
bingham county,ID,15640,47540,38098
black hawk county,IA,53465,131396,107947
blackford county,IN,4963,12139,11739
bladen county,NC,11492,30105,17187
blaine county,ID,8759,23868,20169
blaine county,MT,2248,7051,3082
blaine county,NE,181,346,346
blaine county,OK,3542,8799,6989
blair county,PA,50264,123132,116671
blanco county,TX,4749,11313,9180
bland county,VA,2260,6278,5907
bleckley county,GA,4232,12562,8794
bledsoe county,TN,4901,14863,13292
blount county,AL,21300,58884,54439
blount county,TN,52337,134042,123656
blue earth county,MN,26630,68575,60882
boise county,ID,3277,7549,6910
bolivar county,MS,11538,31301,9553
bollinger county,MO,3775,10758,10270
bon homme county,SD,2445,7020,6093
bond county,IL,6094,16804,15120
bonner county,ID,18823,46481,43036
bonneville county,ID,41693,121771,107371
boone county,AR,15190,37445,35708
boone county,IL,18897,53592,44895
boone county,IN,26130,69839,63275
boone county,IA,10720,26721,25544
boone county,KY,48683,134599,118980
boone county,MO,73113,182170,145668
boone county,NE,2215,5413,5296
boone county,WV,7821,22059,21528
borden county,TX,196,550,518
bosque county,TX,7037,18275,15929
bossier parish,LA,47849,128508,88396
botetourt county,VA,13076,33542,31203
bottineau county,ND,2586,6442,5884
boulder county,CO,131701,328713,279046
boundary county,ID,4503,11966,10953
bourbon county,KS,5773,14410,13099
bourbon county,KY,8135,20281,17756
bowie county,TX,33983,92957,62978
bowman county,ND,1190,3024,2854
box butte county,NE,4576,10821,9402
box elder county,UT,18194,56891,51994
boyd county,KY,18281,48447,45205
boyd county,NE,807,1812,1686
boyle county,KY,11612,30469,26167
bracken county,KY,3124,8394,8081
bradford county,FL,8967,27928,21143
bradford county,PA,24287,60233,57824
bradley county,AR,3706,10597,6731
bradley county,TN,40948,107845,94425
branch county,MI,16625,44677,41121
brantley county,GA,6625,18072,16771
braxton county,WV,4532,12702,11534
brazoria county,TX,124284,368575,234325
brazos county,TX,83627,231095,168520
breathitt county,KY,5506,13652,13138
breckinridge county,KY,7532,20345,19353
bremer county,IA,9638,24863,23581
brevard county,FL,242657,601573,474112
brewster county,TX,4706,9501,7670
briscoe county,TX,557,1266,1076
bristol bay borough,AK,315,849,380
bristol county,MA,227816,576070,469595
bristol county,RI,19273,50672,46848
bristol city,VA,7347,16996,15016
broadwater county,MT,2757,6641,6334
bronx county,NY,521340,1468262,292577
brooke county,WV,9811,22603,21407
brookings county,SD,13233,34315,31086
brooks county,GA,6004,16254,9388
brooks county,TX,2425,7100,4865
broome county,NY,81031,198591,167142
broomfield county,CO,29487,72697,60366
broward county,FL,732464,1934551,1015505
brown county,IL,1998,6330,4876
brown county,IN,6304,15444,14837
brown county,KS,3678,9532,7983
brown county,MN,10773,25894,24585
brown county,NE,1160,2752,2613
brown county,OH,16968,43694,42366
brown county,SD,16200,38471,33313
brown county,TX,14651,38085,32042
brown county,WI,107772,267364,220685
brule county,SD,1990,5247,4391
brunswick county,NC,57812,133789,111535
brunswick county,VA,5905,16044,6572
bryan county,GA,14796,43278,31855
bryan county,OK,17731,45809,33031
buchanan county,IA,7787,20598,19967
buchanan county,MO,33243,85545,72362
buchanan county,VA,7440,20615,19524
buckingham county,VA,5724,16832,10369
