county,state,household_income,total_population,total_white_population
dillon county,SC,10313,28527,13225
dimmit county,TX,2902,8840,5340
dinwiddie county,VA,10268,28040,18082
district of columbia,NA,310104,683154,276373
divide county,ND,911,2196,1992
dixie county,FL,6071,16701,14295
dixon county,NE,2233,5632,4960
doddridge county,WV,2309,7929,7674
dodge county,GA,6569,20089,13474
dodge county,MN,7722,20798,19214
dodge county,NE,14639,37249,34072
dodge county,WI,35291,89274,81831
dolores county,CO,1144,2288,1954
doniphan county,KS,2785,7549,6916
donley county,TX,1193,3266,2861
dooly county,GA,3888,11546,5249
door county,WI,13612,29713,28055
dorado municipio,PR,11807,36030,20044
dorchester county,MD,13123,32486,20698
dorchester county,SC,58282,160180,104774
dougherty county,GA,34338,86825,21924
douglas county,CO,127921,351929,301642
douglas county,GA,50188,143520,61073
douglas county,IL,7585,19708,18417
douglas county,KS,49259,118690,95599
douglas county,MN,17030,38742,37398
douglas county,MO,4532,11808,11177
douglas county,NE,227978,578771,436389
douglas county,NV,20911,49158,41598
douglas county,OR,45663,110680,99863
douglas county,SD,1089,2838,2674
douglas county,WA,15278,42622,28246
douglas county,WI,18865,44034,40509
doña ana county,NM,79933,218157,147372
drew county,AR,6970,17511,11976
dupage county,IL,347385,934094,677738
dubois county,IN,17274,43474,39768
dubuque county,IA,39534,98687,89982
duchesne county,UT,6223,19651,17451
dukes county,MA,6801,20277,16892
dundy county,NE,826,1900,1862
dunklin county,MO,11167,28592,23457
dunn county,ND,1476,4054,3288
dunn county,WI,17277,45254,42070
duplin county,NC,19827,49836,32630
durham county,NC,132762,320146,156682
dutchess county,NY,111735,296012,222818
duval county,FL,387008,983153,551519
duval county,TX,2842,10001,8281
dyer county,TN,14659,36975,29568
eagle county,CO,19511,55693,45327
early county,GA,4034,10813,4781
east baton rouge parish,LA,171349,455447,206470
east carroll parish,LA,2213,7502,2134
east feliciana parish,LA,6520,19588,10663
eastland county,TX,6697,17785,15818
eaton county,MI,44895,108972,92430
eau claire county,WI,41976,105206,94674
echols county,GA,1327,3691,2443
ector county,TX,59019,161258,106364
eddy county,NM,22315,61096,47776
eddy county,ND,1053,2378,2152
edgar county,IL,7544,16998,16455
edgecombe county,NC,19259,49609,19212
edgefield county,SC,9102,25938,15572
edmonson county,KY,4847,12165,11549
edmunds county,SD,1489,4005,3857
edwards county,IL,2656,6233,6000
edwards county,KS,1251,2911,2645
edwards county,TX,558,1366,1350
effingham county,GA,22313,63448,49865
effingham county,IL,14104,34576,33377
el dorado county,CA,74535,190568,161381
el paso county,CO,270178,722736,550813
el paso county,TX,288186,860485,512529
elbert county,CO,9261,25897,23148
elbert county,GA,7773,19453,12657
elk county,KS,1005,2466,2269
elk county,PA,13499,31037,30003
elkhart county,IN,71343,206314,170653
elko county,NV,18614,53420,40362
elliott county,KY,2173,7414,7123
ellis county,KS,11899,28893,26385
ellis county,OK,1468,3813,3444
ellis county,TX,62708,187984,138798
ellsworth county,KS,2310,6403,5681
elmore county,AL,31630,87146,65060
elmore county,ID,10624,28396,22317
emanuel county,GA,8245,22739,13964
emery county,UT,3450,9839,9494
emmet county,IA,3856,9433,8498
emmet county,MI,14280,33946,30775
emmons county,ND,1507,3316,3234
emporia city,VA,2240,5761,1240
erath county,TX,14926,42288,36384
erie county,NY,403064,949715,726768
erie county,OH,31984,75560,63327
erie county,PA,108861,271903,230458
escambia county,AL,12878,36879,22707
escambia county,FL,124494,318828,210693
esmeralda county,NV,484,987,931
essex county,MA,307959,804598,607416
essex county,NJ,307613,852720,323837
essex county,NY,15714,37501,34596
essex county,VT,2729,5972,5697
essex county,VA,4299,10621,5917
estill county,KY,5598,14157,13632
etowah county,AL,38289,103468,81042
eureka county,NV,555,1603,1467
evangeline parish,LA,12076,32538,21556
evans county,GA,3886,10761,6081
fairbanks north star borough,AK,35298,97149,70888
fairfax county,VA,408673,1146825,649590
fairfax city,VA,9090,23980,15146
fairfield county,CT,349443,956446,650345
fairfield county,OH,57841,157622,133978
fairfield county,SC,8758,21186,8320
fajardo municipio,PR,12158,32336,12739
fall river county,SD,3149,6979,5914
fallon county,MT,1184,3074,2874
falls church city,VA,5630,14494,11075
falls county,TX,5419,17074,11169
fannin county,GA,11188,25198,23740
fannin county,TX,12470,35453,30547
faribault county,MN,5979,13933,12952
faulk county,SD,764,2157,2096
faulkner county,AR,46445,123191,100003
fauquier county,VA,25472,72416,61017
fayette county,AL,6204,16365,13773
fayette county,GA,42351,117828,74079
fayette county,IL,7609,21514,20091
fayette county,IN,9677,23393,22156
fayette county,IA,8107,19582,18398
fayette county,KY,134229,321354,234096
fayette county,OH,11471,28897,26725
fayette county,PA,54097,129443,118264
fayette county,TN,15932,41584,28242
fayette county,TX,8720,24445,21228
fayette county,WV,15836,41056,38194
fentress county,TN,7443,18385,17721
fergus county,MT,5208,11464,10693
ferry county,WA,2934,7198,5249
fillmore county,MN,8414,21179,20384
fillmore county,NE,2358,5561,5270
finney county,KS,12924,38338,27572
fisher county,TX,1533,3720,3103
flagler county,FL,45491,113888,90103
flathead county,MT,40780,103400,95840
fleming county,KY,5713,14996,14327
florence county,SC,51791,137276,70811
florence county,WI,2076,4542,4381
florida municipio,PR,4331,11725,6325
floyd county,GA,35859,98210,75956
floyd county,IN,30137,79594,70659
floyd county,IA,6712,15672,14429
floyd county,KY,14040,36127,35025
floyd county,TX,1894,5478,4564
floyd county,VA,6695,15536,14648
fluvanna county,VA,9979,27078,21243
foard county,TX,471,1087,813
fond du lac county,WI,42151,103890,94899
ford county,IL,5719,13589,12632
ford county,KS,11571,34426,26557
forest county,PA,1786,7121,5295
forest county,WI,3660,9184,7248
forrest county,MS,28867,77743,45546
forsyth county,GA,82293,245754,178522
forsyth county,NC,150651,380583,237646
fort bend county,TX,259106,806497,361145
foster county,ND,1456,3396,3239
fountain county,IN,6843,16422,15885
franklin county,AL,10955,32034,25008
franklin county,AR,6718,17159,15754
franklin county,FL,4559,12232,9700
franklin county,GA,8346,23256,19659
franklin county,ID,4531,14036,12981
franklin county,IL,16237,38068,36500
franklin county,IN,8896,22769,22024
franklin county,IA,4108,10056,9421
franklin county,KS,10018,25953,23941
franklin county,KY,22247,51319,42063
franklin county,ME,12018,29487,28174
franklin county,MA,30792,71085,64892
franklin county,MS,3072,7705,4807
franklin county,MO,40612,104331,98165
franklin county,NE,1210,2914,2792
franklin county,NY,18561,47996,39318
franklin county,NC,25473,67598,44567
franklin county,OH,537109,1313598,833927
franklin county,PA,61854,155592,140195
franklin county,TN,16467,42528,38153
franklin county,TX,3546,10413,8677
franklin county,VT,19073,49752,46738
franklin county,VA,22033,54829,48404
franklin county,WA,27721,95313,58985
franklin parish,LA,7279,19964,13029
franklin city,VA,3474,8249,3125
frederick county,MD,97615,267498,204273
frederick county,VA,32723,90287,79255
fredericksburg city,VA,11198,28027,17343
freeborn county,MN,12844,30882,27070
freestone county,TX,6567,19478,14701
fremont county,CO,17510,49007,43510
fremont county,ID,4288,13370,12419
fremont county,IA,2742,6702,6349
fremont county,WY,14490,39434,28188
fresno county,CA,314421,1003150,544633
frio county,TX,4763,18428,13300
frontier county,NE,1010,2512,2390
fulton county,AR,4636,12072,11297
fulton county,GA,441958,1054286,447842
fulton county,IL,13893,34022,31676
fulton county,IN,7896,20400,19035
fulton county,KY,2315,6507,4657
fulton county,NY,21712,53588,49389
fulton county,OH,16763,42709,39076
fulton county,PA,5990,14529,13884
furnas county,NE,1990,4655,4500
gadsden county,FL,15769,44233,16446
gage county,NE,9064,21706,20876
gaines county,TX,6775,21167,17999
galax city,VA,2780,6681,5471
gallatin county,IL,2133,5038,4855
gallatin county,KY,3004,8694,7843
gallatin county,MT,46378,116725,107549
gallia county,OH,11292,29369,27368
galveston county,TX,131877,347084,250882
garden county,NE,866,1726,1687
garfield county,CO,21707,61221,49354
garfield county,MT,404,972,962
garfield county,NE,797,1889,1824
garfield county,OK,23875,62628,49301
garfield county,UT,1823,5061,4680
garfield county,WA,1004,2278,2119
garland county,AR,41919,99694,84722
garrard county,KY,6554,17018,15919
garrett county,MD,12392,28955,27851
garvin county,OK,9888,25949,20954
garza county,TX,1705,5734,4127
gasconade county,MO,5872,14803,14187
gaston county,NC,88710,226097,167832
gates county,NC,4139,10584,6665
geary county,KS,13429,36514,23040
geauga county,OH,35249,95408,90648
gem county,ID,6943,18692,16094
genesee county,MI,164905,406400,299607
genesee county,NY,24461,58387,53271
geneva county,AL,10303,26604,22410
gentry county,MO,2301,6231,6003
george county,MS,8577,24260,21572
georgetown county,SC,25690,62992,41062
gibson county,IN,12896,33017,30667
gibson county,TN,19436,50278,38960
gila county,AZ,22306,53211,37699
gilchrist county,FL,6659,17759,15823
giles county,TN,11395,30197,25594
giles county,VA,6824,16764,16046
gillespie county,TX,11205,26730,23510
gilliam county,OR,902,1954,1745
gilmer county,GA,12648,31047,28606
gilmer county,WV,2127,7516,6168
gilpin county,CO,2791,5812,5374
glacier county,MT,4005,13827,4254
glades county,FL,4572,12183,9070
gladwin county,MI,10714,25344,24420
glascock county,GA,1045,2903,2576
glasscock county,TX,457,1221,761
glenn county,CA,9753,28675,21496
gloucester county,NJ,109290,300821,240146
gloucester county,VA,14882,38586,32957
glynn county,GA,33401,84373,56449
gogebic county,MI,6770,14858,13637
golden valley county,MT,349,820,709
golden valley county,ND,719,1812,1657
goliad county,TX,2671,7085,5897
gonzales county,TX,7496,19720,12853
goochland county,VA,9454,24300,19191
goodhue county,MN,19580,47503,43715
gooding county,ID,5407,15422,12864
gordon county,GA,20183,57274,47563
goshen county,WY,4962,12642,11397
gosper county,NE,759,1811,1770
gove county,KS,1206,2774,2633
grady county,GA,9760,26076,16896
grady county,OK,20119,54739,45852
grafton county,NH,34357,91025,82517
graham county,AZ,11577,38145,27983
graham county,KS,1182,2444,2211
graham county,NC,3150,8089,6984
grainger county,TN,9343,23377,22659
grand county,CO,5841,15629,13978
grand county,UT,4271,9630,8685
grand forks county,ND,30862,73101,61715
grand isle county,VT,2925,7249,6730
grand traverse county,MI,38511,94562,89007
granite county,MT,1337,3333,3178
grant county,AR,6850,17912,16685
grant county,IN,26299,66802,57910
grant county,KS,2471,7430,6025
grant county,KY,9044,24918,23352
grant county,MN,2512,6045,5765
grant county,NE,305,718,704
grant county,NM,11144,28178,22600
grant county,ND,1056,2351,2229
grant county,OK,1508,4166,3690
grant county,OR,3274,7225,6702
grant county,SD,3039,7550,7011
grant county,WA,32803,97874,62182
grant county,WV,4147,11063,10656
grant county,WI,19775,52210,49935
grant parish,LA,6577,22236,17643
granville county,NC,21132,60854,36253
gratiot county,MI,14859,41758,37303
graves county,KY,14214,36796,32582
gray county,KS,2054,5720,5422
gray county,TX,7881,21398,17135
grays harbor county,WA,29319,74737,63566
grayson county,KY,9398,26351,25340
grayson county,TX,51021,134205,110567
grayson county,VA,6112,15418,14212
greeley county,KS,543,1257,977
greeley county,NE,914,2219,2143
green county,KY,4390,11141,10594
green county,WI,15392,37098,35396
green lake county,WI,7987,18990,17990
greenbrier county,WV,14722,33307,30880
greene county,AL,2849,7851,1381
greene county,AR,17583,45665,42333
greene county,GA,7324,18461,10860
greene county,IL,4512,12187,11719
greene county,IN,12472,30924,29954
greene county,IA,3790,8831,8383
greene county,MS,3742,13653,9908
greene county,MO,129367,296875,263346
greene county,NY,17451,48026,41958
greene county,NC,6779,20524,10980
greene county,OH,66279,167043,140513
greene county,PA,13957,36248,33697
greene county,TN,27468,69926,65672
greene county,VA,7533,20374,16568
greenlee county,AZ,3265,9542,8210
greensville county,VA,3183,11465,4237
greenup county,KY,14182,35996,34574
greenville county,SC,205490,519178,367241
greenwood county,KS,2537,6049,5681
greenwood county,SC,27403,69338,43499
greer county,OK,2079,5548,4449
gregg county,TX,46654,123744,83434
gregory county,SD,1567,4004,3526
grenada county,MS,8631,21621,11467
griggs county,ND,927,2242,2166
grimes county,TX,9469,28878,20435
grundy county,IL,20159,52364,47962
grundy county,IA,5024,12336,11967
grundy county,MO,3667,9901,9337
grundy county,TN,4833,13471,12069
guadalupe county,NM,1146,4465,2724
guadalupe county,TX,58439,169477,117593
guayama municipio,PR,14127,37388,23426
guayanilla municipio,PR,6375,18047,13864
guaynabo municipio,PR,31429,90014,45557
guernsey county,OH,16136,38542,36356
guilford county,NC,209602,537113,282055
gulf county,FL,5519,15205,12229
gunnison county,CO,7100,16851,15609
gurabo municipio,PR,14486,41237,20867
guthrie county,IA,4463,10599,10078
guánica municipio,PR,5518,14297,7681
gwinnett county,GA,313172,948505,404175
haakon county,SD,712,1868,1758
habersham county,GA,15123,45767,38223
haines borough,AK,773,2098,1808
hale county,AL,5133,14819,5681
hale county,TX,11070,32879,24341
halifax county,NC,20049,49291,19015
halifax county,VA,13506,34228,20777
hall county,GA,67241,201703,153496
hall county,NE,23724,62616,47447
hall county,TX,1132,2875,2049
hamblen county,TN,24471,64184,56189
hamilton county,FL,4208,13973,8344
hamilton county,IL,3190,8021,7714
hamilton county,IN,126371,341616,289602
hamilton county,IA,5993,15073,13947
hamilton county,KS,778,2572,2245
hamilton county,NE,3567,9376,8934
hamilton county,NY,1457,5068,4724
hamilton county,OH,345878,826790,547370
hamilton county,TN,147419,363790,265862
hamilton county,TX,2910,8211,7549
hamlin county,SD,2080,6127,5897
hampden county,MA,183309,466265,346903
hampshire county,MA,60903,161810,138255
hampshire county,WV,7912,23214,22215
hampton county,SC,6793,19227,7920
hampton city,VA,57116,136748,53892
hancock county,GA,2869,8652,2139
hancock county,IL,7368,17750,17069
hancock county,IN,30840,78616,72418
hancock county,IA,4610,10837,10349
hancock county,KY,3449,9050,8641
hancock county,ME,24103,55417,52672
hancock county,MS,18864,45911,39389
hancock county,OH,31164,75139,68592
hancock county,TN,2852,6695,6580
hancock county,WV,12840,29223,27517
hand county,SD,1358,3061,2891
hanover county,VA,40310,109232,91851
hansford county,TX,1764,5332,4531
hanson county,SD,1096,3429,3311
haralson county,GA,11240,29685,27069
hardee county,FL,8032,25632,18865
hardeman county,TN,9058,25612,13941
hardeman county,TX,1222,3567,2913
hardin county,IL,1501,3700,3579
hardin county,IA,7033,16997,15879
hardin county,KY,42288,110134,85984
hardin county,OH,11557,30738,29099
hardin county,TN,10787,26722,25048
hardin county,TX,20568,56124,49826
harding county,NM,202,533,300
harding county,SD,511,1179,1056
hardy county,WV,5794,14269,13023
harford county,MD,97468,259162,198632
harlan county,KY,10370,26921,25560
harlan county,NE,1220,3216,3057
harmon county,OK,956,2540,1714
harnett county,NC,47075,133074,87022
harney county,OR,3076,7454,6699
harper county,KS,2204,5525,5145
harper county,OK,1196,3358,2810
harris county,GA,12194,34316,26810
harris county,TX,1658503,4697957,2443521
harrison county,IN,14437,39516,37839
harrison county,IA,5932,14589,14163
harrison county,KY,7264,18690,17691
harrison county,MS,79064,207382,136330
harrison county,MO,3094,8229,7931
harrison county,OH,5748,14623,13847
harrison county,TX,24276,68674,47647
harrison county,WV,26129,66222,62385
harrisonburg city,VA,17102,52062,38096
hart county,GA,10111,25808,19699
hart county,KY,7064,19194,17791
hartford county,CT,356529,898636,599498
hartley county,TX,1704,5465,4406
harvey county,KS,13263,34006,30125
haskell county,KS,1333,3803,2958
haskell county,OK,4576,11711,8224
haskell county,TX,2030,5420,4425
hatillo municipio,PR,13634,38739,33064
hawaii county,HI,71402,200468,65306
hawkins county,TN,22777,56803,54083
hayes county,NE,354,891,861
hays county,TX,84924,234573,179703
haywood county,NC,26399,61695,57645
haywood county,TN,7118,17912,7996
heard county,GA,4285,11440,9856
hemphill county,TX,1387,3450,2684
hempstead county,AR,7566,20352,11265
henderson county,IL,2696,6485,6265
henderson county,KY,18194,45102,39206
henderson county,NC,48519,115613,102346
henderson county,TN,10823,27800,24474
henderson county,TX,31267,81717,69801
hendricks county,IN,62911,172100,145251
hendry county,FL,12821,39439,26718
hennepin county,MN,523528,1270283,888027
henrico county,VA,132465,331924,178020
henry county,AL,6404,17165,12019
henry county,GA,80672,236615,101744
henry county,IL,20109,49412,45374
henry county,IN,18442,48857,45906
henry county,IA,7565,20488,18464
henry county,KY,5967,15691,14432
henry county,MO,9190,21884,20591
henry county,OH,11040,27618,25341
henry county,TN,12938,32298,28330
henry county,VA,20516,51077,36691
herkimer county,NY,24441,60596,57184
hernando county,FL,78041,192128,160241
hertford county,NC,8243,22010,7562
hettinger county,ND,1037,2502,2318
hickman county,KY,1674,4529,3897
hickman county,TN,8736,24848,22758
hickory county,MO,3408,8429,8077
hidalgo county,NM,1573,4214,3269
hidalgo county,TX,251916,865677,557206
highland county,OH,16526,43162,41127
highland county,VA,987,2229,2058
highlands county,FL,43977,101174,78750
hill county,MT,6243,16297,11238
hill county,TX,13043,35686,29351
hillsborough county,FL,547578,1444359,915469
hillsborough county,NH,165309,420504,363494
hillsdale county,MI,17683,45673,43734
hinds county,MS,89891,230772,56082
hinsdale county,CO,442,858,766
hitchcock county,NE,1094,2630,2520
hocking county,OH,11240,28180,26981
hockley county,TX,7935,21670,16876
hodgeman county,KS,725,1851,1804
hoke county,NC,17705,52169,22633
holmes county,FL,6995,19622,17152
holmes county,MS,5674,17243,2599
holmes county,OH,13200,44166,43389
holt county,MO,1794,4295,4132
holt county,NE,4040,10175,9787
honolulu county,HI,330393,1015167,201564
hood county,TX,24195,60521,55640
hood river county,OR,8949,23915,19506
hooker county,NE,304,714,658
hoonah-angoon census area,AK,811,2327,1136
hopewell city,VA,9269,23020,10917
hopkins county,KY,18314,45432,40646
hopkins county,TX,13746,36666,30173
hormigueros municipio,PR,6272,15726,2868
horry county,SC,134609,344865,275951
hot spring county,AR,12070,33096,27960
hot springs county,WY,2085,4673,4415
houghton county,MI,13884,37485,34752
houston county,AL,41095,106355,71690
houston county,GA,59627,161177,93757
houston county,MN,8104,18806,17849
houston county,TN,2860,8238,7668
houston county,TX,7353,22288,15075
howard county,AR,5253,12894,8460
howard county,IN,34674,83349,71588
howard county,IA,3708,9456,9122
howard county,MD,118037,329248,173510
howard county,MO,3186,10147,9044
howard county,NE,2538,6461,6037
howard county,TX,12062,34620,26591
howell county,MO,15543,39753,37634
hubbard county,MN,8622,21219,19627
hudson county,NJ,282832,713264,328709
hudspeth county,TX,869,3322,1553
huerfano county,CO,2744,6787,5986
hughes county,OK,3897,13406,8857
hughes county,SD,7490,17829,14568
humacao municipio,PR,17749,51398,16212
humboldt county,CA,53729,137014,104538
humboldt county,IA,4189,9622,9185
humboldt county,NV,6804,17218,13523
humphreys county,MS,2941,7916,1593
humphreys county,TN,6688,18956,17537
hunt county,TX,35756,98783,76724
hunterdon county,NJ,48975,128807,112609
huntingdon county,PA,15588,44458,40347
huntington county,IN,14928,36572,34910
huron county,MI,13474,31542,30174
huron county,OH,23288,58583,54966
hutchinson county,SD,2912,7412,6881
hutchinson county,TX,6881,20801,16774
hyde county,NC,2000,4697,2901
hyde county,SD,548,1381,1274
iberia parish,LA,26697,70518,41738
iberville parish,LA,10933,30651,14692
ida county,IA,2951,6979,6678
idaho county,ID,6387,16494,15305
imperial county,CA,45541,180051,86476
independence county,AR,14349,37796,32779
indian river county,FL,63377,158002,129185
indiana county,PA,32425,83620,78249
ingham county,MI,114732,285660,207883
inyo county,CA,7832,18804,13914
ionia county,MI,22782,66564,60238
iosco county,MI,11402,25262,23832
iowa county,IA,6765,16596,15883
iowa county,WI,9749,23715,22501
iredell county,NC,70654,183965,144560
irion county,TX,677,1555,1087
iron county,MI,5087,11580,10947
iron county,MO,3649,9606,8995
iron county,UT,17736,55839,50277
iron county,WI,2801,6074,5821
iroquois county,IL,11242,27362,25088
irwin county,GA,3604,9615,6729
isabela municipio,PR,14846,42985,24329
isabella county,MI,24582,65623,56764
isanti county,MN,15298,40604,38355
island county,WA,35102,85938,70430
isle of wight county,VA,15063,38301,27260
issaquena county,MS,378,1111,366
itasca county,MN,18210,44969,40532
itawamba county,MS,8709,23863,21661
izard county,AR,4623,13653,12282
jack county,TX,2914,8494,7655
jackson county,AL,20276,52548,47494
jackson county,AR,5978,16878,12930
jackson county,CO,632,1375,1331
jackson county,FL,16859,48067,32413
jackson county,GA,24874,73839,61943
jackson county,IL,23186,53676,40131
jackson county,IN,17159,45948,40686
jackson county,IA,8020,19499,18820
jackson county,KS,5204,13287,11356
jackson county,KY,4956,13029,12749
jackson county,MI,61833,160765,137808
jackson county,MN,4374,10016,9358
jackson county,MS,54183,142993,99898
jackson county,MO,295018,713229,466030
jackson county,NC,16901,42983,34896
jackson county,OH,12361,32531,31276
jackson county,OK,9671,24960,17949
jackson county,OR,89467,221662,194669
jackson county,SD,722,2868,1011
jackson county,TN,4523,11626,10971
jackson county,TX,5155,14971,12153
jackson county,WV,11127,28011,27199
jackson county,WI,7950,21004,18212
jackson parish,LA,5364,15214,10189
james city county,VA,29748,77733,60711
jasper county,GA,5300,14478,10997
jasper county,IL,3745,9324,9055
jasper county,IN,12493,33006,30138
jasper county,IA,14370,37686,35562
jasper county,MS,6319,16406,7266
jasper county,MO,47105,122059,107227
jasper county,SC,11084,28363,14012
jasper county,TX,12776,33369,25310
jay county,IN,8146,20570,19701
jayuya municipio,PR,5004,14877,7952
jeff davis county,GA,5246,14753,10979
jeff davis county,TX,1010,2021,1838
jefferson county,AL,264105,672550,342157
jefferson county,AR,24416,68199,26623
jefferson county,CO,236499,580130,499171
jefferson county,FL,5394,14405,9081
jefferson county,GA,5625,15708,6764
jefferson county,ID,9345,30427,27098
jefferson county,IL,14608,37362,32125
jefferson county,IN,12748,33000,30884
jefferson county,IA,6688,15846,13208
jefferson county,KS,7262,18391,17413
jefferson county,KY,323293,780449,538438
jefferson county,MS,2412,7286,947
jefferson county,MO,85737,225913,208421
jefferson county,MT,4604,12057,11259
jefferson county,NE,3131,7213,6929
jefferson county,NY,45517,117634,99740
jefferson county,OH,26776,65620,59441
jefferson county,OK,2057,5491,4502
jefferson county,OR,8244,24232,16315
jefferson county,PA,17745,44491,43179
jefferson county,TN,20419,54358,50930
jefferson county,TX,92751,256755,130837
jefferson county,WA,15497,32590,28968
jefferson county,WV,21162,57542,48920
jefferson county,WI,33861,84808,78291
jefferson davis county,MS,4305,11372,4265
jefferson davis parish,LA,11351,32270,25179
jefferson parish,LA,174954,439402,255623
jenkins county,GA,3290,8693,5308
jennings county,IN,10217,27619,26418
jerauld county,SD,847,1811,1653
jerome county,ID,7916,24081,19609
jersey county,IL,7818,21533,20656
jessamine county,KY,19054,53016,47572
jewell county,KS,1240,2927,2759
jim hogg county,TX,1423,4864,4034
jim wells county,TX,12835,39203,35490
jo daviess county,IL,10006,21995,21182
johnson county,AR,9849,25853,22595
johnson county,GA,3201,9272,5802
johnson county,IL,4055,13238,11640
johnson county,IN,59475,159739,142737
johnson county,IA,60573,151833,121135
johnson county,KS,237949,605154,504478
johnson county,KY,8376,22794,22127
johnson county,MO,20537,53889,47162
johnson county,NE,1746,5298,4312
johnson county,TN,6859,17912,16519
johnson county,TX,60915,177022,151503
johnson county,WY,3825,8457,7833
johnston county,NC,76121,211320,153298
johnston county,OK,3907,10446,7224
jones county,GA,10444,28297,20373
jones county,IA,8053,20680,19360
jones county,MS,24087,67374,45602
jones county,NC,3779,9326,5813
jones county,SD,381,916,739
jones county,TX,5792,19721,13746
josephine county,OR,36148,87686,78668
juab county,UT,3500,11648,10705
juana díaz municipio,PR,15287,46704,14967
judith basin county,MT,879,2004,1841
juncos municipio,PR,13065,37290,13719
juneau city and borough,AK,12922,32240,20873
juneau county,WI,10363,26595,24332
juniata county,PA,8756,23607,22550
kalamazoo county,MI,105299,261280,206735
kalawao county,HI,31,48,14
kalkaska county,MI,7001,17813,16821
kanabec county,MN,6471,16004,15250
kanawha county,WV,76919,181953,159654
kandiyohi county,MN,16926,43504,36838
kane county,IL,181263,518648,356822
kane county,UT,3006,7635,6969
kankakee county,IL,40346,108104,83434
karnes county,TX,4431,14823,11128
kauai county,HI,22668,73247,23217
kaufman county,TX,46189,140145,100433
kay county,OK,16916,44019,33354
kearney county,NE,2721,6639,6340
kearny county,KS,1306,4019,3606
keith county,NE,3749,8312,7746
kemper county,MS,3196,9211,3099
kenai peninsula borough,AK,22768,58711,47378
kendall county,IL,43225,130757,99830
kendall county,TX,16261,43842,36353
kenedy county,TX,48,169,143
kennebec county,ME,52752,123293,116878
kenosha county,WI,65877,168743,136175
kent county,DE,66720,180078,114515
kent county,MD,8291,19335,15201
kent county,MI,249821,654958,502911
kent county,RI,71737,169345,150797
kent county,TX,243,632,538
kenton county,KY,66999,168264,149657
keokuk county,IA,4136,10050,9749
kern county,CA,274705,905644,564183
kerr county,TX,21842,52411,42160
kershaw county,SC,24901,64989,45162
ketchikan gateway borough,AK,5487,13939,8970
kewaunee county,WI,8104,20535,19546
keweenaw county,MI,1039,2052,1983
keya paha county,NE,330,946,920
kidder county,ND,1042,2397,2247
kimball county,NE,1479,3583,3324
kimble county,TX,1797,4295,3546
king county,TX,83,229,203
king county,WA,902308,2240876,1356265
king george county,VA,9445,26597,20003
king william county,VA,6667,17511,13795
king and queen county,VA,2803,6690,4474
kingfisher county,OK,5528,15272,13018
kingman county,KS,3177,7495,7139
kings county,CA,43286,151887,86371
kings county,NY,985108,2712360,1141959
kingsbury county,SD,1991,5131,4896
kinney county,TX,1039,3199,3011
kiowa county,CO,584,1414,1372
kiowa county,KS,926,2457,2253
kiowa county,OK,3272,8518,6769
kit carson county,CO,2964,7071,6071
kitsap county,WA,104977,273072,215001
kittitas county,WA,18772,44147,37429
kittson county,MN,1668,4213,4014
klamath county,OR,28027,68899,57437
kleberg county,TX,11559,31015,21277
klickitat county,WA,9332,22478,20137
knott county,KY,5458,14506,14085
knox county,IL,20575,50193,42575
knox county,IN,15111,36362,33572
knox county,KY,11115,30367,29118
knox county,ME,17529,40519,38626
knox county,MO,1196,3782,3627
knox county,NE,3323,8434,7282
knox county,OH,22908,62399,59421
knox county,TN,192077,475286,398831
knox county,TX,1251,3384,2607
kodiak island borough,AK,4416,13218,6924
koochiching county,MN,5663,12203,11189
kootenai county,ID,64914,168317,153044
kosciusko county,IN,31012,80151,72791
kossuth county,IA,6422,14823,14138
kusilvak census area,AK,1815,8354,278
la crosse county,WI,49603,120291,108186
la paz county,AZ,8678,16845,11104
la plata county,CO,22266,55673,47635
la salle county,TX,1868,6956,4537
lagrange county,IN,12599,40085,38362
lamoure county,ND,1728,4173,3993
laporte county,IN,43256,112184,90806
lasalle county,IL,44873,109986,98393
lasalle parish,LA,4533,14770,12367
labette county,KS,7857,20222,17831
lac qui parle county,MN,2841,6753,6426
lackawanna county,PA,87217,215529,188746
laclede county,MO,14380,35898,33370
lafayette county,AR,2500,6373,3770
lafayette county,FL,2486,8343,6441
lafayette county,MS,18970,55727,39351
lafayette county,MO,12083,32752,30421
lafayette county,WI,6667,16662,15982
lafayette parish,LA,95607,241173,161076
lafourche parish,LA,36412,97677,76249
lajas municipio,PR,7765,23407,7688
lake county,CA,26307,67749,49473
lake county,CO,2795,7417,5865
lake county,FL,149455,375059,289693
lake county,IL,252731,714484,499259
lake county,IN,190191,495925,297799
lake county,MI,4349,12248,10606
lake county,MN,5031,10835,10455
lake county,MT,11756,31030,20308
lake county,OH,98217,232202,206825
lake county,OR,3427,8119,7165
lake county,SD,4619,11358,10649
lake county,TN,2071,7187,4824
lake and peninsula borough,AK,319,986,240
lake of the woods county,MN,1403,3757,3451
lamar county,AL,5351,13929,12098
lamar county,GA,6811,18482,12268
lamar county,MS,24929,63610,47748
lamar county,TX,19930,49932,39247
lamb county,TX,4604,13147,10598
lamoille county,VT,10830,25920,24488
lampasas county,TX,7928,21443,17622
lancaster county,NE,127779,320301,269516
lancaster county,PA,207291,550480,473189
lancaster county,SC,36597,94653,69067
lancaster county,VA,5197,10916,7348
lander county,NV,2298,5729,5202
lane county,KS,659,1504,1382
